flight_id,aircraft_type,aircraft_age,operational_hours,days_since_maintenance,maintenance_count,airline,origin,destination,distance,flight_duration,weather_condition,weather_severity,engine_temperature,oil_pressure,vibration_level,fuel_consumption,hydraulic_pressure,cabin_pressure,previous_delays,crew_experience,equipment_failure,flight_cancelled
FL10000,Boeing 737,6,16795,349,19,AirGlobal,MIA,BOS,1258,2.71,Clear,1,340.0,33.34,21.43,1629.93,2808.23,11.47,5,2.02,0,0
FL10001,Airbus A320,11,28480,49,31,SkyConnect,ATL,DEN,1199,2.09,Clear,1,312.25,32.31,9.19,1618.2,2879.87,11.01,8,3.07,0,0
FL10002,Boeing 737,6,22777,388,29,PacificWings,ORD,SFO,1846,3.51,Cloudy,2,321.37,24.41,19.44,2116.67,2813.76,11.41,3,6.19,0,0
FL10003,Boeing 787,5,14417,260,33,Continental Express,JFK,LAX,2475,5.17,Clear,1,312.83,29.71,11.82,2450.11,3131.5,10.86,8,8.81,0,1
FL10004,Boeing 737,8,3027,136,28,AirGlobal,DFW,SEA,1660,3.6,Cloudy,2,303.96,41.4,14.82,2391.18,3140.02,10.95,0,3.46,0,0
FL10005,Airbus A320,2,20115,360,26,PacificWings,JFK,LAX,2475,4.93,Clear,1,335.84,36.04,21.26,2952.41,3108.39,10.99,8,18.35,1,1
FL10006,Boeing 787,2,49702,352,43,SkyConnect,IAH,MCO,848,2.49,Cloudy,2,327.04,25.45,20.1,998.85,2881.22,11.44,6,8.66,1,0
FL10007,Airbus A320,12,43557,441,10,Continental Express,MIA,BOS,1258,2.07,Clear,1,340.0,20.85,26.44,1113.91,2942.52,11.41,0,7.24,0,0
FL10008,Boeing 737,8,10474,359,10,SkyConnect,IAH,MCO,848,0.9,Clear,1,320.17,31.41,15.31,1238.11,2929.28,11.02,8,11.29,1,1
FL10009,Boeing 777,11,45417,387,41,OceanAir,ATL,DEN,1199,2.42,Clear,1,340.0,25.87,22.78,1160.26,2857.96,10.99,5,7.57,0,0
FL10010,Airbus A320,16,26342,294,28,OceanAir,ORD,SFO,1846,3.8,Clear,1,324.01,32.64,21.09,1671.56,3003.28,11.2,2,15.59,0,1
FL10011,Boeing 737,2,31206,147,24,Continental Express,ORD,SFO,1846,3.37,Cloudy,2,321.3,36.61,16.65,1654.5,2936.43,10.61,6,14.45,0,0
FL10012,Boeing 777,15,32065,112,6,OceanAir,MIA,BOS,1258,2.82,Clear,1,317.93,37.92,14.16,1751.97,3142.53,10.9,0,16.77,1,1
FL10013,Boeing 737,5,49354,112,29,Continental Express,ORD,SFO,1846,3.74,Cloudy,2,307.85,23.62,21.41,2397.08,2894.9,10.83,3,10.43,0,0
FL10014,Airbus A350,0,5555,443,26,AirGlobal,MIA,BOS,1258,2.25,Foggy,4,302.94,37.37,17.2,1562.18,3117.92,11.0,0,6.49,0,0
FL10015,Boeing 787,2,45080,17,48,OceanAir,DFW,SEA,1660,3.25,Clear,1,326.21,32.54,19.36,2451.25,3185.45,11.35,4,6.39,0,0
FL10016,Boeing 737,17,35584,490,35,AirGlobal,DFW,SEA,1660,2.98,Clear,1,340.0,17.86,20.48,2314.15,2854.65,11.21,6,8.75,0,0
FL10017,Boeing 777,24,11647,13,11,AirGlobal,DFW,SEA,1660,3.75,Cloudy,2,295.75,44.63,15.11,2362.19,2935.2,10.88,1,12.08,0,0
FL10018,Boeing 737,25,23677,314,26,Continental Express,MIA,BOS,1258,2.62,Clear,1,297.78,26.84,22.16,1856.4,2982.91,11.34,3,11.46,0,0
FL10019,Airbus A350,1,18019,106,34,OceanAir,ATL,DEN,1199,2.37,Clear,1,293.89,33.58,16.97,1113.91,2832.35,10.93,4,3.34,0,0
FL10020,Boeing 777,29,6237,48,29,OceanAir,DFW,SEA,1660,2.94,Foggy,4,309.06,41.86,18.11,2038.82,2967.84,10.75,2,19.43,1,1
FL10021,Boeing 777,4,45078,497,34,AirGlobal,ATL,DEN,1199,2.53,Clear,1,340.0,21.39,22.12,1356.58,2869.28,10.93,6,3.11,0,0
FL10022,Boeing 787,3,41158,394,23,SkyConnect,ATL,DEN,1199,2.75,Cloudy,2,339.35,24.0,22.81,1450.84,3176.09,11.08,1,15.19,1,0
FL10023,Airbus A350,10,39155,323,5,Continental Express,MIA,BOS,1258,2.6,Clear,1,325.14,31.08,20.15,1026.89,3125.79,10.78,3,17.94,0,0
FL10024,Boeing 787,7,41355,217,25,SkyConnect,LAS,PHX,256,0.53,Clear,1,335.38,38.25,25.09,335.91,2851.08,10.75,7,21.94,0,0
FL10025,Boeing 737,22,6644,279,29,SkyConnect,JFK,LAX,2475,4.76,Cloudy,2,289.88,22.6,16.33,2495.65,2839.99,10.55,8,21.48,0,0
FL10026,Boeing 777,30,33307,339,20,Continental Express,MIA,BOS,1258,1.98,Clear,1,329.51,31.93,24.3,1703.46,3115.85,10.59,9,24.41,0,1
FL10027,Boeing 737,2,39102,221,47,SkyConnect,LAS,PHX,256,0.78,Rainy,3,332.74,28.47,23.05,244.69,2958.66,11.39,1,3.87,1,0
FL10028,Airbus A320,15,43348,321,26,Continental Express,IAH,MCO,848,1.48,Rainy,3,335.53,15.07,27.1,1216.41,2844.48,10.99,1,12.78,1,1
FL10029,Airbus A350,8,43918,1,7,SkyConnect,MIA,BOS,1258,2.66,Clear,1,316.34,36.81,15.8,1203.3,3185.29,10.51,4,3.0,0,0
FL10030,Airbus A320,3,26826,147,24,SkyConnect,MIA,BOS,1258,2.31,Foggy,4,296.65,30.04,21.1,1655.49,3166.1,11.46,7,11.07,1,1
