flight_id,aircraft_id,airline,origin_airport,destination_airport,aircraft_type,aircraft_age,engine_temp,oil_pressure,vibration_level,engine_rpm,fuel_consumption_rate,hydraulic_pressure,tire_pressure,brake_temperature,avionics_health_score,operational_hours,month,day_of_week,departure_hour,distance,flight_duration,takeoff_landing_cycles,days_since_last_maintenance,crew_experience,origin_temperature,origin_humidity,origin_wind_speed,origin_visibility,origin_precipitation,origin_weather_condition,destination_temperature,destination_humidity,destination_wind_speed,destination_visibility,destination_precipitation,destination_weather_condition,previous_delays_count,previous_cancellations_count,previous_maintenance_issues,aircraft_reliability_score,equipment_failure,flight_cancelled,cancellation_reason,delay_minutes
FL20000,N92274,DL,MCO,DEN,Boeing 777,20,410.5,43.2,14.32,2688,2802,3095,197,97,70,2001,9,5,22,1544,215,3668,151,6665,70,23,21,10,0,Clear,71,34,6,8,0,Clear,0,0,0,56,0,0,None,0
FL20001,N61135,WN,BOS,MIA,Boeing 777,14,388.3,41.1,12.32,2733,2746,3083,209,145,87,3811,6,3,21,1260,187,2917,152,13151,90,88,5,10,0,Clear,86,45,22,8,0,Clear,0,0,0,71,0,0,None,0
FL20002,N42403,NK,ORD,LAX,Airbus A330,17,474.1,19.8,12.0,2087,3423,3041,202,140,78,6451,4,3,22,1741,241,2876,144,10251,62,45,12,7,0,Clear,52,29,15,7,0,Clear,2,1,0,64,0,0,None,0
FL20003,N67421,F9,CLT,EWR,Boeing 777,21,341.2,43.1,15.41,2579,3177,3081,214,133,60,3117,11,3,7,528,86,4396,7,5474,73,45,16,9,0,Cloudy,58,49,21,7,0,Cloudy,0,0,1,59,0,0,None,0
FL20004,N10615,DL,MCO,DFW,Airbus A320,13,370.6,23.8,16.07,2168,2761,2856,192,191,89,8742,9,1,22,983,144,1736,121,12341,55,87,13,10,0,Clear,54,81,8,9,0,Clear,1,0,1,70,0,0,None,0
FL20005,N79876,AA,LAX,PHX,Boeing 737,1,375.7,40.0,11.75,2776,3602,2464,202,115,73,4082,2,0,18,369,65,2803,158,1741,32,71,19,5,1,Rainy,34,43,7,9,0,Clear,1,0,2,87,0,0,None,0
FL20006,N57001,UA,EWR,MIA,Boeing 777,20,391.5,38.5,16.95,2683,2706,2975,215,121,73,412,10,1,5,1087,163,2045,86,5346,73,68,17,8,0,Clear,55,64,21,7,0,Clear,1,0,0,64,1,0,None,60
FL20007,N21688,WN,BOS,PHX,Boeing 777,10,334.3,29.9,12.24,2621,2903,2952,216,182,79,2734,6,6,12,2294,297,750,59,1934,88,68,7,9,0,Clear,82,44,7,10,0,Cloudy,0,0,0,73,0,0,None,0
FL20008,N66923,WN,SFO,BOS,Boeing 737,19,448.9,40.5,10.17,2542,2922,2913,184,130,85,6175,10,5,16,2697,349,4466,161,10313,56,26,5,9,0,Cloudy,50,49,11,7,0,Cloudy,2,0,0,60,0,0,None,30
FL20009,N55547,AS,DFW,JFK,Boeing 777,14,303.3,41.4,7.17,2543,3271,2993,205,191,78,1350,8,6,13,1388,205,1187,14,2138,98,61,20,7,0,Clear,72,46,36,5,1,Rainy,0,1,0,67,0,0,None,0
FL20010,N41238,WN,CLT,SFO,Boeing 787,1,376.1,42.3,9.35,2482,3244,2692,184,157,100,2161,8,0,15,2291,298,3301,128,6305,72,39,5,8,0,Clear,92,79,6,10,0,Cloudy,0,0,0,93,0,0,None,15
FL20011,N31569,UA,ATL,SEA,Embraer E175,4,357.2,39.7,14.67,2431,3058,3105,198,165,73,8028,6,5,6,2177,292,4294,94,6515,72,27,28,3,1,Rainy,78,54,10,8,0,Clear,1,0,0,80,1,1,Maintenance,0
FL20012,N59065,F9,LAS,BOS,Embraer E175,10,323.8,28.2,17.33,2907,2833,2708,205,148,96,9546,9,2,6,2375,323,1603,35,1504,59,76,22,10,0,Cloudy,64,67,30,4,1,Rainy,1,0,0,69,1,1,Maintenance,0
FL20013,N95866,AS,JFK,EWR,Airbus A330,3,348.0,24.8,17.14,2402,3031,3092,219,134,85,8758,3,0,8,21,28,3205,134,14841,54,33,12,10,0,Clear,51,28,7,7,0,Cloudy,0,0,0,78,1,0,None,0
FL20014,N70025,NK,DFW,MCO,Boeing 737,6,302.1,42.8,19.52,2677,3110,3003,201,94,88,5783,9,6,8,983,138,4847,13,544,57,56,24,10,0,Clear,65,81,15,7,0,Clear,3,0,0,74,1,1,Maintenance,0
FL20015,N64761,DL,SEA,LAS,Embraer E175,13,436.9,19.3,20.28,2486,2541,2920,207,129,69,8718,10,5,20,866,127,2755,143,5113,74,51,20,9,0,Clear,61,64,21,9,0,Clear,3,0,1,58,1,1,Maintenance,0
FL20016,N31808,WN,MCO,SFO,Boeing 737,0,340.1,71.1,18.82,2572,3808,2695,227,130,100,4542,6,4,15,2441,330,1477,13,2405,90,82,23,9,0,Clear,75,25,18,9,0,Clear,0,0,0,81,0,0,None,0
FL20017,N82553,F9,SFO,DEN,Airbus A320,19,453.6,46.5,13.62,2568,2726,3213,189,170,82,6069,6,2,18,965,150,4195,151,9938,83,79,23,8,0,Cloudy,99,60,22,10,0,Clear,1,1,0,61,0,0,None,0
FL20018,N72598,UA,PHX,ORD,Boeing 737,3,285.4,28.7,11.33,2781,2967,3593,202,127,89,6285,4,3,10,1437,193,4021,93,6752,50,78,23,9,0,Cloudy,54,73,9,9,0,Clear,0,0,0,81,0,0,None,15
FL20019,N24528,NK,BOS,SEA,Airbus A320,3,329.5,27.8,11.54,2347,2864,2607,196,169,92,4453,1,0,9,2488,325,1293,77,12752,30,48,28,2,1,Snowy,28,44,23,10,0,Clear,1,0,1,78,0,1,Weather,0
FL20020,N36556,UA,MIA,BOS,Boeing 787,0,313.8,23.4,7.26,2411,2740,3254,187,157,88,2699,6,6,21,1260,186,292,87,14608,79,26,18,9,0,Cloudy,76,48,14,7,0,Clear,0,0,0,94,0,0,None,60
FL20021,N94555,WN,PHX,DFW,Airbus A320,8,340.3,43.1,13.6,2268,3244,3177,228,122,83,9246,1,5,14,865,133,4544,74,4091,38,63,41,4,1,Snowy,33,34,9,7,0,Clear,1,1,0,73,1,1,Maintenance,0
FL20022,N70947,B6,IAH,JFK,Boeing 777,15,447.7,29.5,14.51,2333,3350,3072,195,141,60,6831,7,4,18,1415,195,4854,123,12883,96,25,22,10,0,Clear,71,30,23,9,0,Clear,0,0,0,67,1,1,Maintenance,0
FL20023,N65259,AS,CLT,ATL,Boeing 787,5,308.8,41.0,13.6,2677,3228,3340,196,118,88,2351,12,6,8,226,64,2884,73,5209,29,49,17,9,0,Clear,33,24,9,8,0,Clear,1,0,0,87,0,0,None,15
FL20024,N78998,NK,DFW,MCO,Boeing 737,3,360.3,37.4,8.68,2469,2539,3078,197,167,97,4005,9,6,12,983,137,4082,131,12116,51,61,7,3,1,Foggy,56,60,17,7,0,Cloudy,1,0,1,75,0,0,None,60
